YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),Source
1978,4,26,1978.317800000000,299.190,0.230000,"Cape Grim air archive"
1978,7,7,1978.515100000000,299.550,0.190000,"Cape Grim air archive"
1980,9,3,1980.674900000000,301.660,0.0700000,"Cape Grim air archive"
1981,10,5,1981.761600000000,301.840,0.110000,"Cape Grim air archive"
1984,5,23,1984.393400000000,302.980,0.110000,"Cape Grim air archive"
1986,2,6,1986.101400000000,304.510,0.0900000,"Cape Grim air archive"
1986,11,12,1986.865800000000,304.410,0.110000,"Cape Grim air archive"
1987,1,8,1987.021900000000,304.950,0.120000,"Cape Grim air archive"
1987,5,28,1987.405500000000,305.320,0.0800000,"Cape Grim air archive"
1988,6,21,1988.472700000000,305.650,0.0600000,"Cape Grim air archive"
1989,5,19,1989.380800000000,307.060,0.0400000,"Cape Grim air archive"
1989,11,8,1989.854800000000,307.490,0.0800000,"Cape Grim air archive"
1990,2,16,1990.128800000000,307.650,0.120000,"Cape Grim air archive"
1990,4,26,1990.317800000000,307.570,0.300000,"Cape Grim air archive"
1990,5,25,1990.397300000000,307.780,0.0600000,"Cape Grim air archive"
1990,11,13,1990.868500000000,308.270,0.160000,"Cape Grim air archive"
1990,12,18,1990.964400000000,308.260,0.130000,"Cape Grim air archive"
1991,6,19,1991.465800000000,308.670,0.0400000,"Cape Grim air archive"
1992,1,16,1992.043700000000,309.440,0.0700000,"Cape Grim air archive"
1992,2,12,1992.117500000000,309.290,0.0600000,"Cape Grim air archive"
1992,3,18,1992.213100000000,309.070,0.0900000,"Cape Grim air archive"
1992,4,8,1992.270500000000,309.070,0.100000,"Cape Grim air archive"
1992,8,15,1992.620219000000,309.133,0.354100,"flask"
1992,9,15,1992.704918000000,309.317,0.289600,"flask"
1992,10,15,1992.786885000000,309.413,0.293600,"flask"
1992,11,15,1992.871585000000,309.439,0.323500,"flask"
1992,12,15,1992.953552000000,309.474,0.102900,"flask"
1993,1,15,1993.038356000000,309.361,0.230500,"flask"
1993,2,15,1993.123288000000,309.148,0.455500,"flask"
1993,3,15,1993.200000000000,308.893,0.274800,"flask"
1993,4,15,1993.284932000000,308.847,0.320400,"flask"
1993,5,15,1993.367123000000,309.005,0.165100,"flask"
1993,6,15,1993.452055000000,309.035,0.252000,"flask"
1993,7,15,1993.534247000000,309.145,0.414100,"flask"
1993,8,15,1993.619178000000,309.387,0.336200,"flask"
1993,9,15,1993.704110000000,309.485,0.0828000,"flask"
1993,10,15,1993.786301000000,309.640,0.264900,"flask"
1993,11,15,1993.871233000000,309.654,0.415300,"flask"
1993,12,15,1993.953425000000,309.460,0.0492000,"flask"
1994,1,15,1994.038356000000,309.335,0.0293000,"flask"
1994,2,15,1994.123288000000,309.349,0.0530000,"flask"
1994,3,15,1994.200000000000,309.628,0.174800,"flask"
1994,4,15,1994.284932000000,309.679,0.399200,"flask"
1994,5,15,1994.367123000000,309.728,0.315600,"flask"
1994,6,15,1994.452055000000,310.025,0.326300,"flask"
1994,7,15,1994.534247000000,310.102,0.230500,"flask"
1994,8,15,1994.619178000000,310.220,0.329500,"flask"
1994,9,15,1994.704110000000,310.274,0.332700,"flask"
1994,10,15,1994.786301000000,310.125,0.315000,"flask"
1994,11,15,1994.871233000000,310.147,0.325000,"flask"
1994,12,15,1994.953425000000,310.363,0.281400,"flask"
1995,1,15,1995.038356000000,310.469,0.329700,"flask"
1995,2,15,1995.123288000000,310.264,0.217800,"flask"
1995,3,15,1995.200000000000,309.979,0.331600,"flask"
1995,4,15,1995.284932000000,309.938,0.314400,"flask"
1995,5,15,1995.367123000000,310.135,0.336900,"flask"
1995,6,15,1995.452055000000,310.217,0.273300,"flask"
1995,7,15,1995.534247000000,310.150,0.348000,"flask"
1995,8,15,1995.619178000000,310.487,0.301500,"flask"
1995,9,15,1995.704110000000,310.881,0.226600,"flask"
1995,10,15,1995.786301000000,310.914,0.221300,"flask"
1995,11,15,1995.871233000000,310.973,0.241200,"flask"
1995,12,15,1995.953425000000,311.180,0.264500,"flask"
1996,1,15,1996.038251000000,311.160,0.249200,"flask"
1996,2,15,1996.122951000000,310.937,0.277700,"flask"
1996,3,15,1996.202186000000,310.887,0.181500,"flask"
1996,4,15,1996.286885000000,310.782,0.290300,"flask"
1996,5,15,1996.368852000000,310.700,0.278600,"flask"
1996,6,15,1996.453552000000,310.785,0.316900,"flask"
1996,7,15,1996.535519000000,310.978,0.313900,"flask"
1996,8,15,1996.620219000000,311.251,0.306000,"flask"
1996,9,15,1996.704918000000,311.373,0.372300,"flask"
1996,10,15,1996.786885000000,311.462,0.262500,"flask"
1996,11,15,1996.871585000000,311.534,0.194700,"flask"
1996,12,15,1996.953552000000,311.736,0.198100,"flask"
1997,1,15,1997.038356000000,311.921,0.139900,"flask"
1997,2,15,1997.123288000000,311.888,0.239900,"flask"
1997,3,15,1997.200000000000,311.882,0.369100,"flask"
1997,4,15,1997.284932000000,311.699,0.285600,"flask"
1997,5,15,1997.367123000000,311.685,0.309300,"flask"
1997,6,15,1997.452055000000,311.913,0.319500,"flask"
1997,7,15,1997.534247000000,311.898,0.342600,"flask"
1997,8,15,1997.619178000000,312.128,0.253600,"flask"
1997,9,15,1997.704110000000,312.524,0.226400,"flask"
1997,10,15,1997.786301000000,312.693,0.331100,"flask"
1997,11,15,1997.871233000000,312.797,0.131800,"flask"
1997,12,15,1997.953425000000,312.869,0.253900,"flask"
1998,1,15,1998.038356000000,312.881,0.292500,"flask"
1998,2,15,1998.123288000000,312.770,0.242200,"flask"
1998,3,15,1998.200000000000,312.565,0.222700,"flask"
1998,4,15,1998.284932000000,312.481,0.253800,"flask"
1998,5,15,1998.367123000000,312.518,0.292200,"flask"
1998,6,15,1998.452055000000,312.623,0.369900,"flask"
1998,7,15,1998.534247000000,312.943,0.234800,"flask"
1998,8,15,1998.619178000000,313.270,0.211000,"flask"
1998,9,15,1998.704110000000,313.414,0.410400,"flask"
1998,10,15,1998.786301000000,313.471,0.313200,"flask"
1998,11,15,1998.871233000000,313.571,0.265500,"flask"
1998,12,15,1998.953425000000,313.742,0.164900,"flask"
1999,1,15,1999.038356000000,313.802,0.327000,"flask"
1999,2,15,1999.123288000000,313.789,0.246400,"flask"
1999,3,15,1999.200000000000,313.820,0.326600,"flask"
1999,4,15,1999.284932000000,313.711,0.208400,"flask"
1999,5,15,1999.367123000000,313.569,0.268900,"flask"
1999,6,15,1999.452055000000,313.624,0.262200,"flask"
1999,7,15,1999.534247000000,313.777,0.137200,"flask"
1999,8,15,1999.619178000000,313.964,0.234100,"flask"
1999,9,15,1999.704110000000,314.209,0.331100,"flask"
1999,10,15,1999.786301000000,314.344,0.187800,"flask"
1999,11,15,1999.871233000000,314.350,0.248600,"flask"
1999,12,15,1999.953425000000,314.533,0.233500,"flask"
2000,1,15,2000.038251000000,314.726,0.233400,"flask"
2000,2,15,2000.122951000000,314.632,0.270800,"flask"
2000,3,15,2000.202186000000,314.516,0.279800,"flask"
2000,4,15,2000.286885000000,314.433,0.591000,"flask"
2000,5,15,2000.368852000000,314.538,0.373700,"flask"
2000,6,15,2000.453552000000,314.715,0.0857000,"flask"
2000,7,15,2000.535519000000,314.654,0.378300,"flask"
2000,8,15,2000.620219000000,314.719,0.161600,"flask"
2000,9,15,2000.704918000000,314.963,0.299400,"flask"
2000,10,15,2000.786885000000,315.107,0.278200,"flask"
2000,11,15,2000.871585000000,315.252,0.184800,"flask"
2000,12,15,2000.953552000000,315.360,0.135300,"flask"
2001,1,15,2001.038356000000,315.268,0.232400,"flask"
2001,2,15,2001.123288000000,315.103,0.110700,"flask"
2001,3,15,2001.200000000000,314.892,0.273600,"flask"
2001,4,15,2001.284932000000,314.729,0.226900,"flask"
2001,5,15,2001.367123000000,314.882,0.109000,"flask"
2001,6,15,2001.452055000000,315.131,0.240100,"flask"
2001,7,15,2001.534247000000,315.253,0.172300,"flask"
2001,8,15,2001.619178000000,315.407,0.260200,"flask"
2001,9,15,2001.704110000000,315.677,0.241000,"flask"
2001,10,15,2001.786301000000,315.810,0.204500,"flask"
2001,11,15,2001.871233000000,315.846,0.136700,"flask"
2001,12,15,2001.953425000000,315.974,0.173000,"flask"
2002,1,15,2002.038356000000,316.056,0.164600,"flask"
2002,2,15,2002.123288000000,316.060,0.334800,"flask"
2002,3,15,2002.200000000000,315.887,0.191900,"flask"
2002,4,15,2002.284932000000,315.743,0.188200,"flask"
2002,5,15,2002.367123000000,315.778,0.230500,"flask"
2002,6,15,2002.452055000000,315.992,0.398300,"flask"
2002,7,15,2002.534247000000,316.164,0.378900,"flask"
2002,8,15,2002.619178000000,316.176,0.137300,"flask"
2002,9,15,2002.704110000000,316.118,0.126800,"flask"
2002,10,15,2002.786301000000,316.151,0.211500,"flask"
2002,11,15,2002.871233000000,316.181,0.183700,"flask"
2002,12,15,2002.953425000000,316.125,0.266500,"flask"
2003,1,15,2003.038356000000,316.258,0.150000,"flask"
2003,2,15,2003.123288000000,316.307,0.369900,"flask"
2003,3,15,2003.200000000000,316.164,0.202700,"flask"
2003,4,15,2003.284932000000,316.200,0.246800,"flask"
2003,5,15,2003.367123000000,316.428,0.265000,"flask"
2003,6,15,2003.452055000000,316.484,0.298000,"flask"
2003,7,15,2003.534247000000,316.470,0.00770000,"flask"
2003,8,15,2003.619178000000,316.467,0.513500,"flask"
2003,9,15,2003.704110000000,316.619,0.437700,"flask"
2003,10,15,2003.786301000000,316.794,0.365300,"flask"
2003,11,15,2003.871233000000,316.975,0.164200,"flask"
2003,12,15,2003.953425000000,317.367,0.319800,"flask"
2004,1,15,2004.038251000000,317.464,0.332400,"flask"
2004,2,15,2004.122951000000,317.200,0.215100,"flask"
2004,3,15,2004.202186000000,317.074,0.145700,"flask"
2004,4,15,2004.286885000000,316.985,0.120300,"flask"
2004,5,15,2004.368852000000,316.971,0.0934000,"flask"
2004,6,15,2004.453552000000,317.045,0.280800,"flask"
2004,7,15,2004.535519000000,317.183,0.128200,"flask"
2004,8,15,2004.620219000000,317.572,0.218200,"flask"
2004,9,15,2004.704918000000,317.720,0.201200,"flask"
2004,10,15,2004.786885000000,317.626,0.124900,"flask"
2004,11,15,2004.871585000000,317.672,0.179900,"flask"
2004,12,15,2004.953552000000,317.704,0.475300,"flask"
2005,1,15,2005.038356000000,317.944,0.491100,"flask"
2005,2,15,2005.123288000000,317.955,0.134500,"flask"
2005,3,15,2005.200000000000,317.476,0.289000,"flask"
2005,4,15,2005.284932000000,317.265,0.434300,"flask"
2005,5,15,2005.367123000000,317.634,0.191100,"flask"
2005,6,15,2005.452055000000,318.001,0.268900,"flask"
2005,7,15,2005.534247000000,317.927,0.287800,"flask"
2005,8,15,2005.619178000000,318.047,0.329700,"flask"
2005,9,15,2005.704110000000,318.307,0.330000,"flask"
2005,10,15,2005.786301000000,318.460,0.468800,"flask"
2005,11,15,2005.871233000000,318.811,0.0911000,"flask"
2005,12,15,2005.953425000000,318.761,0.425600,"flask"
2006,1,15,2006.038356000000,318.522,0.0497000,"flask"
2006,2,15,2006.123288000000,318.588,0.509300,"flask"
2006,3,15,2006.200000000000,318.588,0.307000,"flask"
2006,4,15,2006.284932000000,318.459,0.304300,"flask"
2006,5,15,2006.367123000000,318.454,0.149800,"flask"
2006,6,15,2006.452055000000,318.594,0.0545000,"flask"
2006,7,15,2006.534247000000,318.698,0.0627000,"flask"
2006,8,15,2006.619178000000,318.988,0.202500,"flask"
2006,9,15,2006.704110000000,319.245,0.0342000,"flask"
2006,10,15,2006.786301000000,319.219,0.229000,"flask"
2006,11,15,2006.871233000000,319.352,0.239900,"flask"
2006,12,15,2006.953425000000,319.486,0.124300,"flask"
2007,1,15,2007.038356000000,319.375,0.336000,"flask"
2007,2,15,2007.123288000000,319.294,0.00570000,"flask"
2007,3,15,2007.200000000000,319.297,0.198200,"flask"
2007,4,15,2007.284932000000,319.137,0.0877000,"flask"
2007,5,15,2007.367123000000,318.874,0.267600,"flask"
2007,6,15,2007.452055000000,318.991,0.177800,"flask"
2007,7,15,2007.534247000000,319.275,0.0713000,"flask"
2007,8,15,2007.619178000000,319.542,0.136800,"flask"
2007,9,15,2007.704110000000,319.824,0.0848000,"flask"
2007,10,15,2007.786301000000,319.954,0.307200,"flask"
2007,11,15,2007.871233000000,320.218,0.247900,"flask"
2007,12,15,2007.953425000000,320.224,0.110400,"flask"
2008,1,15,2008.038251000000,320.017,0.100300,"flask"
2008,2,15,2008.122951000000,320.464,0.365300,"flask"
2008,3,15,2008.202186000000,320.766,0.0339000,"flask"
2008,4,15,2008.286885000000,320.556,0.405300,"flask"
2008,5,15,2008.368852000000,320.465,0.102000,"flask"
2008,6,15,2008.453552000000,320.504,0.676000,"flask"
2008,7,15,2008.535519000000,320.650,0.141700,"flask"
2008,8,15,2008.620219000000,320.833,0.149500,"flask"
2008,9,15,2008.704918000000,320.918,0.341800,"flask"
2008,10,15,2008.786885000000,321.085,0.0931000,"flask"
2008,11,15,2008.871585000000,321.406,0.104000,"flask"
2008,12,15,2008.953552000000,321.385,0.377400,"flask"
2009,1,15,2009.038356000000,321.278,0.0460000,"flask"
2009,2,15,2009.123288000000,321.482,0.0383000,"flask"
2009,3,15,2009.200000000000,321.247,0.179800,"flask"
2009,4,15,2009.284932000000,320.783,0.161500,"flask"
2009,5,15,2009.367123000000,320.859,0.332700,"flask"
2009,6,15,2009.452055000000,321.110,0.192300,"flask"
2009,7,15,2009.534247000000,321.263,0.421800,"flask"
2009,8,15,2009.619178000000,321.480,0.191700,"flask"
2009,9,15,2009.704110000000,321.535,0.131300,"flask"
2009,10,15,2009.786301000000,321.759,0.125900,"flask"
2009,11,15,2009.871233000000,322.111,0.272200,"flask"
2009,12,15,2009.953425000000,322.100,0.160100,"flask"
2010,1,15,2010.038356000000,322.204,0.0713000,"flask"
2010,2,15,2010.123288000000,322.329,0.0219000,"flask"
2010,3,15,2010.200000000000,322.102,0.106000,"flask"
2010,4,15,2010.284932000000,321.749,0.0905000,"flask"
2010,5,15,2010.367123000000,321.631,0.0491000,"flask"
2010,6,15,2010.452055000000,322.033,0.209300,"flask"
2010,7,15,2010.534247000000,322.420,0.0592000,"flask"
2010,8,15,2010.619178000000,322.436,0.108600,"flask"
2010,9,15,2010.704110000000,322.636,0.0934000,"flask"
2010,10,15,2010.786301000000,322.914,0.0659000,"flask"
2010,11,15,2010.871233000000,323.175,0.0951000,"flask"
2010,12,15,2010.953425000000,323.444,0.0479000,"flask"
2011,1,15,2011.038356000000,323.279,0.112200,"flask"
2011,2,15,2011.123288000000,322.994,0.0367000,"flask"
2011,3,15,2011.200000000000,323.029,0.0356000,"flask"
2011,4,15,2011.284932000000,323.076,0.0121000,"flask"
2011,5,15,2011.367123000000,323.024,0.0112000,"flask"
2011,6,15,2011.452055000000,322.990,0.130900,"flask"
2011,7,15,2011.534247000000,322.912,0.306500,"flask"
2011,8,15,2011.619178000000,323.092,0.111400,"flask"
2011,9,15,2011.704110000000,323.433,0.310000,"flask"
2011,10,15,2011.786301000000,323.595,0.0459000,"flask"
2011,11,15,2011.871233000000,323.754,0.0966000,"flask"
2011,12,15,2011.953425000000,323.878,0.0577000,"flask"
2012,1,15,2012.038251000000,324.156,0.146600,"flask"
2012,2,15,2012.122951000000,324.095,0.113600,"flask"
2012,3,15,2012.202186000000,323.677,0.329400,"flask"
2012,4,15,2012.286885000000,323.740,0.103400,"flask"
2012,5,15,2012.368852000000,324.064,0.0594000,"flask"
2012,6,15,2012.453552000000,324.048,0.423200,"flask"
2012,7,15,2012.535519000000,324.022,0.176600,"flask"
2012,8,15,2012.620219000000,324.374,0.165300,"flask"
2012,9,15,2012.704918000000,324.631,0.195700,"flask"
2012,10,15,2012.786885000000,324.720,0.0824000,"flask"
2012,11,15,2012.871585000000,324.984,0.161000,"flask"
2012,12,15,2012.953552000000,325.016,0.199200,"flask"
2013,1,15,2013.038356000000,324.852,0.465800,"flask"
2013,2,15,2013.123288000000,324.803,0.192900,"flask"
2013,3,15,2013.200000000000,324.734,0.0158000,"flask"
2013,4,15,2013.284932000000,324.714,0.324900,"flask"
2013,5,15,2013.367123000000,324.648,0.0953000,"flask"
2013,6,15,2013.452055000000,324.854,0.132400,"flask"
2013,7,15,2013.534247000000,325.264,0.0721000,"flask"
2013,8,15,2013.619178000000,325.293,0.260600,"flask"
2013,9,15,2013.704110000000,325.434,0.156000,"flask"
2013,10,15,2013.786301000000,325.601,0.485600,"flask"
2013,11,15,2013.871233000000,325.502,0.205700,"flask"
2013,12,15,2013.953425000000,325.345,0.464400,"flask"
2014,1,15,2014.038356000000,325.322,0.109500,"flask"
2014,2,15,2014.123288000000,325.522,0.0597000,"flask"
2014,3,15,2014.200000000000,325.496,0.204800,"flask"
2014,4,15,2014.284932000000,325.366,0.162200,"flask"
2014,5,15,2014.367123000000,325.501,0.276400,"flask"
2014,6,15,2014.452055000000,325.817,0.250800,"flask"
2014,7,15,2014.534247000000,326.032,0.0361000,"flask"
2014,8,15,2014.619178000000,326.170,0.311900,"flask"
2014,9,15,2014.704110000000,326.366,0.163000,"flask"
2014,10,15,2014.786301000000,326.550,0.170200,"flask"
2014,11,15,2014.871233000000,326.811,0.207200,"flask"
2014,12,15,2014.953425000000,326.840,0.315100,"flask"
2015,1,15,2015.038356000000,326.873,0.268300,"flask"
2015,2,15,2015.123288000000,326.983,0.166800,"flask"
2015,3,15,2015.200000000000,326.717,0.324700,"flask"
2015,4,15,2015.284932000000,326.630,0.301100,"flask"
2015,5,15,2015.367123000000,326.891,0.208400,"flask"
2015,6,15,2015.452055000000,326.970,0.155100,"flask"
2015,7,15,2015.534247000000,327.106,0.182400,"flask"
2015,8,15,2015.619178000000,327.327,0.258600,"flask"
2015,9,15,2015.704110000000,327.376,0.130800,"flask"
2015,10,15,2015.786301000000,327.356,0.151800,"flask"
2015,11,15,2015.871233000000,327.460,0.177800,"flask"
2015,12,15,2015.953425000000,327.643,0.239300,"flask"
2016,1,15,2016.038251000000,327.690,0.222600,"flask"
2016,2,15,2016.122951000000,327.600,0.166600,"flask"
2016,3,15,2016.202186000000,327.530,0.194900,"flask"
2016,4,15,2016.286885000000,327.446,0.186700,"flask"
2016,5,15,2016.368852000000,327.443,0.306700,"flask"
2016,6,15,2016.453552000000,327.612,0.237700,"flask"
2016,7,15,2016.535519000000,327.713,0.198200,"flask"
2016,8,15,2016.620219000000,327.841,0.194300,"flask"
2016,9,15,2016.704918000000,328.135,0.384800,"flask"
2016,10,15,2016.786885000000,328.174,0.216700,"flask"
2016,11,15,2016.871585000000,328.046,0.288200,"flask"
2016,12,15,2016.953552000000,328.114,0.182100,"flask"
2017,1,15,2017.038356000000,328.201,0.207300,"flask"
2017,2,15,2017.123288000000,327.950,0.365700,"flask"
2017,3,15,2017.200000000000,327.742,0.301000,"flask"
2017,4,15,2017.284932000000,327.921,0.235100,"flask"
2017,5,15,2017.367123000000,328.212,0.271500,"flask"
2017,6,15,2017.452055000000,328.510,0.379200,"flask"
2017,7,15,2017.534247000000,328.743,0.353700,"flask"
2017,8,15,2017.619178000000,328.853,0.212900,"flask"
2017,9,15,2017.704110000000,329.064,0.309500,"flask"
2017,10,15,2017.786301000000,329.426,0.365600,"flask"
2017,11,15,2017.871233000000,329.663,0.263900,"flask"
2017,12,15,2017.953425000000,329.682,0.233700,"flask"
2018,1,15,2018.038356000000,329.764,0.205800,"flask"
2018,2,15,2018.123288000000,329.792,0.206300,"flask"
2018,3,15,2018.200000000000,329.667,0.284900,"flask"
2018,4,15,2018.284932000000,329.811,0.266300,"flask"
2018,5,15,2018.367123000000,329.923,0.549900,"flask"
2018,6,15,2018.452055000000,329.959,0.256500,"flask"
2018,7,15,2018.534247000000,330.212,0.294700,"flask"
2018,8,15,2018.619178000000,330.411,0.203000,"flask"
2018,9,15,2018.704110000000,330.670,0.135600,"flask"
2018,10,15,2018.786301000000,330.741,0.130200,"flask"
2018,11,15,2018.871233000000,330.834,0.231800,"flask"
2018,12,15,2018.953425000000,330.979,0.376600,"flask"
2019,1,15,2019.038356000000,330.719,0.355700,"flask"
2019,2,15,2019.123288000000,330.516,0.273500,"flask"
2019,3,15,2019.200000000000,330.428,0.262300,"flask"
2019,4,15,2019.284932000000,330.327,0.273800,"flask"
2019,5,15,2019.367123000000,330.311,0.123500,"flask"
2019,6,15,2019.452055000000,330.398,0.358300,"flask"
2019,7,15,2019.534247000000,330.787,0.284500,"flask"
2019,8,15,2019.619178000000,330.946,0.0197000,"flask"
2019,9,15,2019.704110000000,330.954,0.287800,"flask"
2019,10,15,2019.786301000000,331.210,0.296600,"flask"
2019,11,15,2019.871233000000,331.349,0.174600,"flask"
2019,12,15,2019.953425000000,331.239,0.284700,"flask"
